h3,District,DS,GN,population_2020,schools,gas_stations,pharmacies,banks,supermarkets,poi_count,population_2020_score,bank_user_cx_score,beauty_cx_score,clothing_outlet_score,eat_out_seeker_cx_score,health_fitness_conscious_cx_score,insurance_cx_score,interest_in_property_cx_score,interest_in_vehicle_cx_score,interest_in_movie_cx_score,interest_in_music_cx_score,online_shopper_cx_score,overseas_travellers_cx_score,post_arpu_derived_score,prepaid_arpu_derived_score,selfcare_score,smart_phone_user_cx_score,social_media_cx_score,supermarket_cx_score,poi_count_score,cx_during_daytime_score,score,norm_score,rank
88611cb13bfffff,Colombo,Colombo,Keselwatta,8741.155219,0,2,10,3,4,19,0.348688268,0.362186647,0.187653168,0.170878805,0.204739166,0.197559558,0.241667983,0.218946048,0.29826854,0.215440793,0.395608812,0.304571556,0.213922145,0.124523972,0.426874353,0.31061599,0.452595093,0.485991007,0.14982518,0.422222222,1,1.472133995,0.434418609,3
88611cb131fffff,Colombo,Colombo,Masangasweediya,24917.01805,16,0,4,5,6,31,0.993950074,0.766257136,0.55198973,0.437009382,0.531399225,0.432887856,0.492023377,0.539523212,0.541217467,0.549817423,0.857962226,0.672496085,0.565273496,0.220439631,0.451772767,0.732072646,0.855187936,0.927933673,0.42606987,0.688888889,0.680401652,2.781121231,0.820693511,5
88611cb11dfffff,Colombo,Colombo,Ibbanwala,5113.395008,0,2,4,9,5,20,0.203975425,0.421916108,0.32174116,0.273549684,0.351923597,0.466589192,0.439109145,0.488080301,0.515953392,0.396974439,0.401417455,0.38015512,0.346046312,0.202660738,0.427822484,0.379030144,0.476948008,0.484801972,0.359262577,0.444444444,0.516789822,1.638165669,0.483413639,3
88611cb111fffff,Colombo,Colombo,Ibbanwala,5834.41116,16,1,2,13,2,34,0.232737055,0.470240755,0.346364803,0.282165422,0.379313452,0.346891342,0.414389512,0.472396487,0.462485027,0.467709963,0.520878238,0.457155642,0.354505699,0.243353534,0.455047407,0.45916495,0.549268512,0.573417503,0.367642384,0.755555556,0.461534934,2.054335936,0.606223185,4
88611cb139fffff,Colombo,Colombo,Aluthkade East,25068.68173,1,2,3,9,4,19,1,0.555075701,0.366203758,0.293557343,0.428543112,0.28646136,0.360606539,0.357590966,0.653054557,0.370787689,0.607313776,0.518942501,0.40418668,0.177509234,0.427368337,0.608275604,0.663992798,0.721074023,0.356315196,0.422222222,0.455897243,2.383414989,0.703332596,4
88611cb1edfffff,Colombo,Colombo,Pettah,1068.993151,0,0,4,15,3,22,0.042642575,0.241970712,0.109814447,0.095108175,0.136354627,0.241138873,0.246722477,0.282308657,0.343460743,0.176421492,0.172834545,0.207211574,0.146462112,0.176039015,0.418612063,0.247444299,0.290641458,0.303452525,0.137688907,0.488888889,0.447197899,1.263871449,0.372961482,2
88611cb06bfffff,Colombo,Thimbirigasyaya,Pamankada West,14166.42615,3,2,7,11,7,30,0.565104552,1,1,1,1,1,1,0.974905897,1,1,1,1,1,0.338788683,0.428866226,1,1,1,1,0.666666667,0.423221452,2.999426127,0.88511408,5
88611cb103fffff,Colombo,Colombo,Kuppiyawatta West,16376.54784,8,2,6,11,8,35,0.653267213,0.712000496,0.50869413,0.486166954,0.596900622,0.676932016,0.52100774,0.750313676,0.786126538,0.558789776,0.73440982,0.663211276,0.560685354,0.172058665,0.428882161,0.778431005,0.796596894,0.859239882,0.522928887,0.777777778,0.42077879,2.554914704,0.753941214,4
88611cb025fffff,Colombo,Thimbirigasyaya,Bambalapitiya,4412.201713,0,3,0,10,4,17,0.176004537,0.454144949,0.547555141,0.529580701,0.456329399,0.668216153,0.51429474,0.728983689,0.632581945,0.692540428,0.612537902,0.496867775,0.544841924,0.674959659,0.496000319,0.448005991,0.52464551,0.512074109,0.444303176,0.377777778,0.399343723,2.169045467,0.640073334,4
88611cb10bfffff,Colombo,Thimbirigasyaya,Kurunduwatta,8043.467323,3,0,2,6,2,13,0.320857212,0.411839166,0.378807329,0.323856021,0.353869718,0.370714701,0.385247196,0.562107905,0.483828814,0.392488263,0.442187557,0.413304497,0.352068249,0.431254706,0.437359573,0.358809212,0.468980419,0.496800415,0.332822839,0.288888889,0.387060219,1.811183219,0.534470162,3
